成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
326	fellleaf	0	-1	False	39380	0.0	39380	0
327	fellleaf	0	-1	False	125130	8.02477	125130	0
328	fellleaf	0	-1	False	77290	0.0	77290	0
329	fellleaf	0	-1	True	100790	189.994	100790	0
330	fellleaf	0	-1	False	23310	0.0	23310	0
331	fellleaf	0	-1	False	15510	0.0	15510	0
332	fellleaf	0	-1	False	15210	0.0	15210	0
333	fellleaf	0	-1	False	23490	0.0	23490	0
334	fellleaf	2025942	2	False	63290	116.444	63290	0
335	fellleaf	714001	2	True	88880	149.53	88880	153.95904541015625
336	fellleaf	0	-1	False	85830	0.0	85830	0
337	fellleaf	0	-1	True	350740	9.00449	350740	0
338	fellleaf	320127	2	False	53180	0.0	53180	0
339	fellleaf	0	-1	True	256070	70.9298	256070	0
340	fellleaf	0	-1	True	221130	145.893	221130	0
341	fellleaf	0	-1	False	103800	0.0	103800	0
342	fellleaf	2129143	2	False	22080	0.0	22080	0
343	drugs520	0	-1	False	25290	0.0	25290	0
344	drugs520	0	-1	False	23060	0.0	23060	0
345	drugs520	0	-1	False	36220	0.0	36220	0
346	drugs520	0	-1	False	24770	0.0	24770	0
347	drugs520	0	-1	False	26500	0.0	26500	0
348	drugs520	0	-1	False	26000	0.0	26000	0
349	drugs520	0	-1	False	61200	0.0	61200	0
350	drugs520	0	-1	False	23500	0.0	23500	0
351	drugs520	0	-1	False	41900	0.0	41900	0
352	drugs520	0	-1	False	24750	0.0	24750	0
353	drugs520	0	-1	False	24400	0.0	24400	0
354	drugs520	0	-1	False	25800	0.0	25800	0
355	drugs520	0	-1	False	66900	0.0	66900	0
356	drugs520	0	-1	False	27750	0.0	27750	0
357	drugs520	0	-1	True	120000	784.731	120000	0
358	drugs520	0	-1	False	45960	0.0	45960	0
359	drugs520	0	-1	False	30760	0.0	30760	0
360	drugs520	0	-1	False	48610	0.0	48610	0
361	drugs520	0	-1	False	40960	0.0	40960	0
362	drugs520	0	-1	True	97090	1345.44	97090	0
363	drugs520	0	-1	False	31440	0.0	31440	0
364	drugs520	0	-1	False	31030	0.0	31030	0
365	drugs520	0	-1	False	31830	0.0	31830	0
366	drugs520	0	-1	False	47960	0.0	47960	0
367	drugs520	0	-1	False	49360	0.0	49360	0
368	drugs520	0	-1	False	31730	0.0	31730	0
369	drugs520	0	-1	False	48460	0.0	48460	0
370	drugs520	0	-1	False	31530	0.0	31530	0
371	drugs520	0	-1	False	85210	0.0	85210	0
372	drugs520	0	-1	False	21000	0.0	21000	0
373	drugs520	0	-1	True	34570	945.959	34570	0
374	drugs520	0	-1	True	31840	720.25	31840	0
375	drugs520	0	-1	False	21000	0.0	21000	0
376	drugs520	0	-1	True	34870	1011.72	34870	0
377	drugs520	0	-1	True	35200	877.36	35200	0
378	drugs520	0	-1	True	34050	895.867	34050	0
379	drugs520	0	-1	True	35600	1352.78	35600	0
380	drugs520	0	-1	False	32930	0.0	32930	0
