成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
1796	Crystal 2	0	-1	False	13842731	0.0	13842731	0
1797	Crystal 2	0	-1	False	285656	0.0	285656	0
1798	Crystal 2	0	-1	False	672110	0.0	672110	0
1799	Crystal 2	0	-1	False	7106648	0.0	7106648	0
1800	Crystal 2	0	-1	False	725784	0.0	725784	0
1801	Crystal 2	0	-1	False	701953	0.0	701953	0
1802	Crystal 2	0	-1	True	11583246	0.0	11583246	0
1803	我去要饭	0	-1	False	2210100	0.0	2210100	0
1804	我去要饭	0	-1	True	2518870	0.0	2518870	0
1805	我去要饭	0	-1	True	22583860	0.0	22583860	0
1806	我去要饭	1619555	2	False	179322	0.0	179322	0
1807	一起打饭	1860169	2	False	263934	0.0	263934	0
1808	我去要饭	1619555	2	True	3084266	251.379	3084266	251.378662109375
1809	我去要饭	1637380	2	False	867197	0.0	867197	0
1810	我去要饭	1860433	2	False	82198	0.0	82198	0
1811	我去要饭	1860433	2	False	107161	0.0	107161	0
1812	我去要饭	0	-1	False	171177	0.0	171177	0
1813	我去要饭	658127	2	False	1947910	0.0	1947910	0
1814	我去要饭	658127	2	False	4018470	0.0	4018470	0
1815	我去要饭	1635388	2	False	56230	0.0	56230	0
1816	我去要饭	1635388	2	False	771780	0.0	771780	0
1817	我去要饭	1635388	2	False	3998580	0.0	3998580	0
1818	我去要饭	1635388	2	True	25459620	357.309	25459620	357.3086853027344
1819	我去要饭	960875	2	False	19680	0.0	19680	0
1820	我去要饭	960875	2	False	4873560	0.0	4873560	0
1821	一起打饭	1524103	2	False	171218	0.0	171218	0
1822	我去要饭	0	-1	False	637502	0.0	637502	0
1823	我去要饭	0	-1	False	3292467	0.0	3292467	0
1824	我去要饭	1201636	2	False	13613600	0.0	13613600	0
1825	我去要饭	0	-1	False	2146872	0.0	2146872	0
1826	我去要饭	0	-1	False	22282200	0.0	22282200	0
1827	我去要饭	1031991	2	False	1003300	0.0	1003300	0
1828	我去要饭	1911308	2	False	775839	0.0	775839	0
1829	我去要饭	0	-1	False	203440	0.0	203440	0
1830	我去要饭	0	-1	False	508380	0.0	508380	0
1831	我去要饭	0	-1	True	18213510	0.0	18213510	0
1832	一起打饭	950170	2	False	5354234	0.0	5354234	0
1833	我去要饭	0	-1	False	14157350	0.0	14157350	0
1834	我去要饭	0	-1	False	1643050	0.0	1643050	0
1835	我去要饭	0	-1	False	458680	0.0	458680	0
1836	我去要饭	0	-1	True	9434110	0.0	9434110	0
1837	我去要饭	0	-1	False	462480	0.0	462480	0
1838	我去要饭	0	-1	False	1008510	0.0	1008510	0
1839	我去要饭	0	-1	False	182160	0.0	182160	0
1840	我去要饭	0	-1	False	536140	0.0	536140	0
1841	我去要饭	0	-1	False	2202670	0.0	2202670	0
1842	我去要饭	0	-1	False	1726470	0.0	1726470	0
1843	我去要饭	0	-1	False	848460	0.0	848460	0
1844	我去要饭	0	-1	False	2728008	0.0	2728008	0
1845	我去要饭	0	-1	False	1267090	0.0	1267090	0
1846	我去要饭	869222	2	False	994196	0.0	994196	0
1847	我去要饭	0	-1	False	1676837	0.0	1676837	0
1848	我去要饭	0	-1	True	14192393	0.0	14192393	0
1849	我去要饭	1695991	2	True	10017647	244.283	10017647	244.28285217285156
