成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
2437	一起打饭	283723	5	False	308722	0.0	308722	0
2438	我去要饭	0	-1	True	447668	17.4492	447668	0
2439	一起打饭	283723	5	False	2116938	0.0	2116938	0
2440	我去要饭	0	-1	True	397658	3.18698	397658	0
2441	一起打饭	0	-1	False	563260	0.0	563260	0
2442	一起打饭	0	-1	False	232824	0.0	232824	0
2443	一起打饭	0	-1	False	424914	0.0	424914	0
2444	我去要饭	0	-1	True	14633620	141.693	14633620	0
2445	一起打饭	0	-1	False	110242	0.0	110242	0
2446	我去要饭	0	-1	False	2553046	0.0	2553046	0
2447	我去要饭	0	-1	True	13919800	0.0	13919800	0
2448	我去要饭	0	-1	False	51340	0.0	51340	0
2449	我去要饭	0	-1	False	2974480	0.0	2974480	0
2450	我去要饭	0	-1	False	347510	0.0	347510	0
2451	我去要饭	0	-1	True	4465726	145.063	4465726	0
2452	我去要饭	0	-1	False	1717860	0.0	1717860	0
2453	我去要饭	0	-1	False	193450	0.0	193450	0
2454	我去要饭	0	-1	False	1601529	0.0	1601529	0
2455	我去要饭	1808605	5	False	5456405	0.0	5456405	0
2456	我去要饭	0	-1	True	407650	43.7617	407650	0
2457	我去要饭	1724319	2	False	284156	0.0	284156	0
2458	我去要饭	0	-1	False	4252170	145.797	4252170	0
2459	我去要饭	164020	2	False	398079	0.0	398079	0
2460	我去要饭	0	-1	False	14096750	0.0	14096750	0
2461	我去要饭	1969005	2	False	311790	0.0	311790	0
2462	嗨	715043	5	True	1016404	0.0	1016404	0.4842917323112488
2463	一起打饭	715043	5	True	575326	0.0	575326	0.02063663676381111
2464	我去要饭	0	-1	False	496188	0.0	496188	0
2465	我去要饭	1995061	2	True	1695640	52.6346	1695640	56.35205841064453
2466	一起打饭	0	-1	True	372110	0.0	372110	0
2467	一起打饭	0	-1	True	82844	0.0	82844	0
2468	我去要饭	0	-1	False	539432	0.0	539432	0
2469	我去要饭	0	-1	False	370234	0.0	370234	0
2470	我去要饭	0	-1	True	832596	75.6318	832596	0
2471	嗨	767203	2	False	1744370	0.0	1744370	0
2472	嗨	767203	2	False	1725930	0.0	1725930	0
2473	嗨	0	-1	True	200485	0.0	200485	0
2474	嗨	0	-1	True	2004110	11.2254	2004110	0
2475	嗨	0	-1	False	985680	0.0	985680	0
2476	嗨	0	-1	True	2347832	17.9469	2347832	0
2477	嗨	0	-1	False	103582	0.0	103582	0
2479	路过的差异粉丝	0	-1	True	205682	35.0545	205682	0
2480	路过的差异粉丝	0	-1	False	92110	0.0	92110	0
2481	路过的差异粉丝	0	-1	False	110280	0.0	110280	0
2482	路过的差异粉丝	0	-1	False	27402	0.0	27402	0
2483	路过的差异粉丝	0	-1	True	64	0.001	64	0
2484	路过的差异粉丝	185002	2	True	2251053	53.404	2251053	55.22187423706055
2485	嗨	0	-1	False	2151664	0.0	2151664	0
2486	路过的差异粉丝	0	-1	True	2402920	78.3791	2402920	0
2488	路过的差异粉丝	1688458	2	True	4259230	18.4223	4259230	18.437213897705078
2489	路过的差异粉丝	0	-1	False	926552	0.0	926552	0
2490	路过的差异粉丝	0	-1	False	962260	0.0	962260	0
2491	嗨	0	-1	False	286038	0.0	286038	0
2492	路过的差异粉丝	0	-1	True	90	0.001	90	0
2493	路过的差异粉丝	977197	2	True	2220080	71.3535	2220080	89.23687744140625
2494	路过的差异粉丝	1136506	2	False	77050	0.0	77050	0
2495	路过的差异粉丝	1136506	2	True	2567008	74.3186	2567008	84.95033264160156
2496	嗨	0	-1	False	1879900	0.0	1879900	0
2497	一起打饭	1589320	2	False	104440	0.0	104440	0
2498	一起打饭	1589320	2	False	77070	0.0	77070	0
2499	一起打饭	1589320	2	False	68920	0.0	68920	0
2500	路过的差异粉丝	0	-1	True	1	0.001	1	0
2501	路过的差异粉丝	107875	2	False	89180	0.0	89180	0
2502	路过的差异粉丝	0	-1	False	647060	0.0	647060	0
2503	一起打饭	1573582	2	False	3316930	0.0	3316930	0
